"flag","Domain","2nd domain","A Record","MX Record","Domain crated","Domain expired","Company owner","Intelligence Alliance","Jurisdiction 
(based on server location)","Site description","ToS","Privacy policy","Email
(receive a verification link)","Phone
(receive s sms code)","Price","Personal Info
(first name, last name, adress, etc..)","Note"
,"dnmx.su","dnmxjaitaiafwmss2lx7tbs5bv66l7vjdmb5mtb3yqpxqhk3it5zivad.onion","190.123.44.98 | 🇵🇦 | Panama | AS52284 | Panamaserver.com","mail.dnmx.su  | 🇵🇦 | Panama | AS52284 | Panamaserver.com",2024-08-03,2025-08-03,,,"Panama","The Anonymous Email Service For The Dark Net — DNMX
","Terrorism, blackmail, or other crimes on the platform","No personal data collected (identity not requested); server data encrypted with full disk encryption. No sharing; legal disclosure not specified.","no","no","free","no","DNMX (Dark Net Mail Exchange) is a free anonymous email service operating exclusively through the Tor network, accessible only via a .onion address. Designed to ensure freedom of communication in the darknet, DNMX functions like Gmail or Yahoo Mail but prioritizes anonymity and data protection. It’s a service for those who want to communicate without censorship or surveillance, maintaining privacy in the digital realm.  Security & Anonymity: DNMX offers a high degree of anonymity by neither requesting nor storing users’ personal information—your identity isn’t required to use the service. Access is restricted to the Tor network, concealing IP addresses and locations by routing traffic through multiple nodes. Servers are secured with full disk encryption, rendering data inaccessible even if physically seized. However, the service doesn’t guarantee built-in end-to-end encryption for messages and strongly recommends using PGP for sensitive correspondence, cautioning that even they shouldn’t be fully trusted. A minimal data collection policy suggests no identifying information is retained, and there’s no mention of sharing with third parties (likely minimal due to its darknet context). Privacy hinges on user actions, including PGP use and Tor compliance.  Use Cases: DNMX is ideal for darknet users who value free speech and basic anonymity without complex setups. It’s well-suited for:      Anonymous communication within the Tor network, such as with other darknet users.     Individuals evading censorship from authorities or corporations.     Simple correspondence in scenarios requiring minimal identification. The service prohibits terrorism, blackmail, or other crimes, making it unsuitable for illegal activities. Due to the lack of built-in message encryption, it’s less ideal for highly sensitive data (e.g., for journalists or activists) unless PGP is applied. DNMX is a practical tool for those who prioritize anonymity and communication freedom in the darknet, willing to bolster security themselves if needed. It’s best for basic tasks with a focus on privacy within the Tor ecosystem."
"🇧🇸","xmail.net",,"65.110.6.56 | 🇨🇦 | Canada | AS25668 | Cipherkey Exchange Corp.","mail.xmail.net | 🇨🇦 | Canada | AS25668 | Cipherkey Exchange Corp.",1998-09-11,2025-09-10,"🇧🇸 Aaex Holdings Corp.",,"Canada","XMAIL.NET™ - Free Web Based Xmail
","No explicit prohibitions listed; implied restriction on abuse via inactivity deletion (unused accounts deleted after 1 year)","No personal data collected (no info required at signup); messages/web files stored with 1GB limit each. No sharing specified; legal disclosure unclear.","no","no","free","optional","XMail is a free web-based email service that has been operational since 1998, accessible via xmail.net. Incorporated in the British Virgin Islands with IT operations subcontracted in Vancouver, Canada, XMail provides users with a simple and minimalist communication tool through an Ajax-powered browser interface. The service also offers 1 GB of mailbox storage and 1 GB for personal web hosting, making it a versatile option for basic internet tasks.  Security & Anonymity: XMail stands out with its privacy policy: it collects no personal or demographic information during signup—users only need to choose a username and password. This ensures a high degree of anonymity, as no identity disclosure is required. The service is accessible via standard browsers, including Tor-compatible ones (e.g., Brave), adding optional anonymity when used through the Tor network. For secure communication, XMail supports S/MIME with personal certificates, enabling end-to-end encryption and digital signatures to verify sender authenticity. However, full data protection relies on utilizing these certificates, as server-side encryption isn’t specified. Inactive accounts are deleted after one year, preventing the accumulation of abandoned data. There’s no mention of data sharing with third parties, leaving legal obligations unclear (BVI jurisdiction).  Use Cases: XMail is suitable for users who value basic anonymity and straightforward privacy without complexity. It’s a good fit for:      Anonymous correspondence via the web interface or Tor (with S/MIME for encryption).     Storing small amounts of data (1 GB for email and web files).     Hosting simple static HTML web pages (no CGI/PHP support).     Individuals avoiding intrusive data collection by larger services. It’s not suited for complex tasks requiring server-side scripting or highly sensitive communication without self-applied encryption. XMail is ideal for those seeking a lightweight, free, and anonymous tool for messaging and basic online presence, especially when paired with Tor for added protection. It’s a solution for everyday needs with a focus on simplicity and independence."
" 🇩🇪","monocles.de",,"37.120.160.239 | 🇩🇪 | Germany | AS197540 | netcup GmbH","mail.monocles.de | 🇩🇪 | Germany | AS197540 | netcup GmbH",,," 🇩🇪 Arne-Brün Vogelsang ","Fourteen Eyes (👀 14)","Germany",,"Illegal purposes; disrupting server ops (e.g., high traffic, excessive connections); under 18 use; brand/inappropriate names","Collect optional personal data (e.g., name, address, email) voluntarily; no IP/logs for search/translator. Stored locally if settings changed. No sharing without consent.","yes","no","free","no","Monocles Mail is an email service, presumably part of the Monocles ecosystem (based on the provided data), designed for minimalist and confidential communication. Operating under German legislation (§ 7-10 TMG), the service offers basic functionality for users who want to avoid intrusive data collection, emphasizing voluntary information disclosure and protection against unsolicited advertising.  Security & Anonymity: Monocles Mail ensures a high level of anonymity through its minimal data collection policy: the service can be used without providing personal information, and any data (e.g., name, address, email) is requested only on a voluntary basis. For related features (Monocles search and translator), no IP addresses or user actions are logged, with settings stored locally on the user’s device, preventing tracking by the service. However, the text doesn’t mention encryption for messages or servers, raising questions about content protection. Data isn’t shared with third parties without explicit consent, though legal disclosure is possible after notification of a violation (German jurisdiction). Full anonymity can be achieved using Tor or a VPN, though this isn’t explicitly stated. The service warns that internet data transmission has inherent vulnerabilities.  Use Cases: Monocles Mail is suitable for users who prioritize basic privacy and the absence of aggressive data collection. It’s a good fit for:      Simple correspondence without needing to reveal identity.     Individuals avoiding spam and unwanted advertising (the service prohibits using contact data for such purposes).     Those enhancing anonymity with additional tools (e.g., Tor, VPN). It’s not ideal for highly sensitive tasks (e.g., journalism or activism) due to the lack of guarantees for end-to-end encryption or interception protection. It’s best for everyday communication with minimal risks, especially if users take their own security measures (e.g., PGP encryption). Monocles Mail is a solution for those who value voluntariness and simplicity over maximum protection."
"🇪🇪","atomicmail.io",,"104.21.94.171 | 🇨🇦 | Canada | AS13335 Cloudflare, Inc.","mail1.atomicmail.io | 🇩🇪 | Germany | AS24940 | Hetzner Online GmbH",2023-12-30,2025-12-30,"🇪🇪 AtomicMail Systems OÜ",,"Germany","Atomic Mail: Encrypted email provider
Secure and user-centric email hosting provider, dedicated to offering privacy-first email services. Create multiple aliases, end-to-end encryption, email password protection everything you need for safe communication.","Breaking laws; violating rights; spam; stolen goods trade; threats; child pornography; fraud; excessive messaging; obscene usernames","Collect optional name (alias ok), email, password (hashed); IP/browser/OS for site visits (7-day logs). Stored encrypted (AES-256). No sharing unless Estonian court order.","no","no","free","no","Atomic Mail is a free email service provided by AtomicMail Systems OÜ, registered in Estonia (Tallinn), designed to maximize privacy and user control over communications. Built with cutting-edge encryption technologies and a ""zero-knowledge"" approach, Atomic Mail positions itself as a secure alternative to traditional email services, drawing inspiration from blockchain ecosystem security standards.  Security & Anonymity: Atomic Mail offers a high level of anonymity and privacy. Registration doesn’t require a real name—users only need to select an email (e.g., user@atomicmail.io) and password, with the option to use a pseudonym. No personal data is collected, and passwords are hashed (SHA-256) and never stored in plaintext. Messages are encrypted client-side with AES-256 (for all users) and ECIES (between Atomic Mail users), ensuring end-to-end encryption—Atomic Mail itself cannot access email content. A BIP39 seed phrase, kept by the user, enables account recovery, eliminating reliance on the service. Website visitor IP addresses are logged for 7 days to combat spam, but emails display Atomic Mail’s server IP, not the user’s. Data isn’t shared with third parties except under valid Estonian court orders—requests from foreign authorities are ignored. Access via Tor is possible, enhancing anonymity. However, losing both the password and seed phrase makes recovery impossible, a deliberate security feature.  Use Cases: Atomic Mail is suited for users who prioritize strong privacy and data protection without compromise. It’s an excellent choice for:      Confidential correspondence with robust encryption (e.g., between Atomic Mail users via ECIES).     Sending secure emails to external recipients (password-protected via Decryption Service).     Individuals avoiding surveillance and valuing key control (thanks to the seed phrase).     Those seeking a free, ad-free service with minimal data collection. It’s not ideal for bulk messaging (due to spam restrictions) or users needing support without technical know-how (no recovery guarantees if data is lost). Atomic Mail is perfect for self-reliant users, such as journalists, activists, or tech-savvy individuals, who value anonymity and independence within Estonia’s strict jurisdiction."
"🇭🇷","mail.io",,"151.101.65.195 | 🇺🇸 | United States | AS54113 | Fastly, Inc.","inbound-smtp.us-west-2.amazonaws.com | 🇺🇸 | United States | AS16509 | Amazon.com, Inc.",2004-02-26,2026-02-26,"🇭🇷 Amplio d.o.o. ","Five Eyes (👀 5)","United States","Mailio","Illegal use; spam; junk mail; bulk emails; trading accounts; multiple free accounts; unlawful content","Collect email (optional), hashed verification data (IP/email/phone), metadata, account activity. Encrypted content. Share only if legally required.","no","no","free","no","Mailio is an email service offered by Amplio d.o.o., based in Slovenia, accessible via the mail.io website and mobile apps. It positions itself as a privacy-focused solution, providing end-to-end encryption for correspondence within the mail.io domain and minimal user data collection.  Security & Anonymity: Mailio ensures a high level of privacy with end-to-end encryption for messages within its domain and a ""zero-knowledge"" architecture—meaning the company cannot access encrypted email content. No personal data is required for registration, though an optional email can be provided for verification or recovery. IP addresses, emails, or phone numbers used for verification (e.g., via reCaptcha, SMS) are stored temporarily and hashed if retained long-term, making identification difficult. Permanent IP logs aren’t kept unless abuse (spam, attacks) occurs, where data may be stored to protect the service. Metadata (sender, recipient, subject, timestamps) is accessible due to SMTP limitations, but encrypted message content isn’t. Unencrypted incoming emails are scanned for spam and viruses, justified by user protection needs. Data isn’t shared with third parties except under binding Slovenian legal requests (with user notification if permitted). Payments via Stripe or anonymously (Bitcoin/cash) offer flexibility, though card linkage may reduce anonymity. For full anonymity, using Tor/VPN is recommended, as traffic passes through third-party networks.  Use Cases: Mailio is suitable for users seeking a private email service with strong data protection and minimal tracking. It’s a good fit for:      Confidential correspondence within the mail.io domain (fully encryption-protected).     Those aiming to minimize data collection and avoid ads (no analytics or third-party tracking).     Everyday communication with moderate anonymity needs (external emails aren’t encrypted by default). It’s not ideal for complete anonymity (due to potential metadata and payments) or bulk messaging (strict anti-spam measures). Mailio is optimal for individuals, freelancers, or small teams valuing simplicity, security, and inbox control within the European jurisdiction (GDPR)."
,"mailum.com","cyberfear.com","54.37.129.184 | 🇵🇱 | Poland | AS16276 | OVH SAS","custom.cyberfear.com  | 🇵🇱 | Poland | AS16276 | OVH SAS",2012-10-22,2025-10-22,"CyberFear

Sergei Krutov (vSaKv) ex developer SCRYPTmail 
(htps://www.linkedin.com/in/sergei-krutov) ",,"Poland","Mailum - Secure Encrypted Email Service | Private & Anonymous Email
Enjoy private, anonymous email with end-to-end encryption from Mailum, your trusted encrypted email provider. Sign up for free and protect your communication today.","Selling/sublicensing content; damaging site; impacting access; illegal use; data mining/harvesting; under 18 use","Collect username, password (hashed), last login date; IP for 5 mins at registration (anti-flood). No logs otherwise. No sharing specified.","no","no","free","no","Mailum is a web-based email service accessible at https://mailum.com, prioritizing user privacy. It offers a minimalist solution for email communication, avoiding excessive data collection and providing a basic level of anonymity and protection.  Security & Anonymity: Mailum ensures a high degree of anonymity through its minimal data collection policy. Registration requires only a username and password (hashed), with no need to provide personal details like a real name or email. IP addresses aren’t logged for website visitors, except for a 5-minute retention during registration to prevent account flooding (this data isn’t linked to users and is deleted afterward). The date of the last login is stored for managing inactive accounts, but no other activity traces are kept. The absence of logs and external trackers (e.g., for advertising) enhances privacy. Cookies are used solely for session identification, without additional tracking. However, there’s no mention of message or server encryption, suggesting a lack of default end-to-end encryption. Data isn’t shared with third parties, and GDPR/CCPA rights ensure user control over information. For full anonymity, using Tor or a VPN is recommended.  Use Cases: Mailum is suitable for those seeking a simple, anonymous communication method without heavy oversight. It’s a good fit for:      Basic correspondence with minimal identity disclosure.     Users avoiding tracking and ads (the service is entirely free of external scripts).     Those wanting a quick email setup without sharing personal data. It’s not ideal for highly sensitive tasks (e.g., protection from authorities or sending confidential data), as there’s no mention of encryption or advanced security measures. Mailum is optimal for low-risk everyday use where simplicity and lack of surveillance matter, especially when paired with additional anonymization tools. It’s a solution for minimalists who value basic privacy without complex configurations."
"🇺🇸","codamail.com",,"173.166.91.11 | 🇺🇸 | United States | AS7922 Comcast Cable Communications, LLC","mail.pnsh.com | 🇺🇸 | United States | AS7922 Comcast Cable Communications, LLC",2009-03-19,2026-03-19,"🇺🇸 Packetderm LLC","Five Eyes (👀 5)","United States","CodaMail - A unique private e-mail service
Take control of your email privacy with CodaMail's zero-access encryption. Protect your messages with end-to-end encryption, anonymous email aliases, and advanced privacy features.","Spamming; phishing; malware; threats; harassment; unauthorized access; fraud; excessive resource use","Collect username, payment IDs, subscription details, dates, email content (encrypted), PGP keys (optional). 5-day logs. Share only if legally required.","yes","no","free","optional","CodaMail is an email service provided by Packetderm, LLC (USA, Massachusetts), also known through Cotse.Net, with a strong focus on safeguarding user privacy. Accessible via https://codamail.com, CodaMail combines minimal data collection with robust encryption, offering a secure communication solution centered on privacy and user control.  Security & Anonymity: CodaMail ensures a high level of privacy through strict principles: it collects only the bare minimum of data (account name, subscription details, creation/expiration dates), and email content is individually encrypted at rest using elliptic-curve AES-GCM-256. It supports zero-access automatic PGP encryption and end-to-end encryption via PGP, making message content inaccessible even to the service operators. Server logs are retained for just 5 days for technical operations and abuse prevention, and no IP addresses are stored for VPN/proxy services, though Intrusion Detection may capture IPs during anomalies. Registration requires only a username and password (hashed with SHA512/yescrypt), with 2FA (TOTP) available for added security. However, CodaMail isn’t fully anonymous—payments (via First Data/PayPal or cash) and U.S. jurisdiction may link a payer’s identity. Data isn’t sold or shared with third parties, except under valid U.S. legal requests (reviewed and challenged if overly broad, with user notification when allowed). For complete anonymity, using Tor and avoiding payment ties to real identity are recommended.  Use Cases: CodaMail is suitable for users who prioritize private correspondence with strong encryption and minimal data collection. It’s an excellent choice for:      Confidential communication using PGP (e.g., between tech-savvy users).     Individuals avoiding tracking by advertisers or analytics (no logs or tracking).     Those wanting control over access and encryption (e.g., via IMAP/POP3 settings and PGP keys). It’s not ideal for total anonymity (due to payments and U.S. jurisdiction) or bulk messaging (strict anti-spam measures). CodaMail is perfect for those who value security and are willing to manage their own keys and backups (no automatic backups to protect privacy), including professionals, privacy-conscious users, or small businesses needing secure email within the U.S. legal framework."
"🇫🇮","offilive.com",,"148.251.90.169 | 🇩🇪 | Germany | AS24940 | Hetzner Online GmbH","mx.offilive.com | 🇩🇪 | Germany | AS24940 | Hetzner Online GmbH",2017-11-22,2025-11-22,"🇫🇮 OffiDocs Group OU",,"Germany","Free personal email accounts and business email accounts by OffiDocs and OnWorks
Free personal email account and free business email account with your own email domain using the OffiDocs and OwnWorks platforms.","Damaging site; impacting access; illegal use; data mining/harvesting; infringing content","Collect no personal info; store user files/images on servers (temp, removable). Cookies/analytics/ads data (Google/Adgoal). Limited sharing.","yes","no","free","yes","OffiDocs is an online service offering a suite of applications for file management, which presumably includes email functionality (though the provided documents focus primarily on document editing). Accessible via web browsers and mobile apps, OffiDocs emphasizes ease of use and a minimalist privacy policy, avoiding the collection of personal data.  Security & Anonymity: OffiDocs provides a high level of anonymity by not requiring personal information (name, email, phone number) for its services, including temporary file storage. No registration is needed, eliminating ties to a user’s identity. Data is stored temporarily on OffiDocs servers—on desktop, it’s deleted after 5 days of inactivity, and in mobile apps, after editing is complete—reducing the risk of leaks. The service uses cookies for sessions and ads (Google Adsense) and collects analytics via Google Analytics, which may include IP addresses but isn’t linked to individuals. Partnerships with Adgoal (in extensions) and BrightSDK (in mobile apps) involve IP collection for affiliate links or premium features, but without identifying the owner. Specific email encryption isn’t mentioned, though general data is protected with basic security measures (encryption and physical server safeguards). For full anonymity, using a VPN or Tor is recommended, as ad networks may track activity.  Use Cases: OffiDocs is suitable for users needing temporary, anonymous access to email or file services without long-term data retention. It’s a good fit for:      Short-term correspondence or document work where history retention isn’t needed.     Testing services or sites requiring an email, without spam risks (files/data auto-delete).     Those aiming to minimize their digital footprint without complex setups. It’s not ideal for long-term email storage, sensitive communication (due to unclear email encryption), or professional use with high security demands. OffiDocs is perfect for simple tasks prioritizing free access, anonymity, and temporary use, such as for students, freelancers, or individuals avoiding intrusive ads and tracking."
"🇧🇪","contactoffice.com",,"212.3.242.83 | 🇧🇪 | Belgium | AS3356 | Level 3 Parent, LLC","smtp1.contactoffice.com | 🇧🇪 | Belgium | AS3356 | Level 3 Parent, LLC
Smtp2.contactoffice.com | 🇧🇪 | Belgium | AS3356 | Level 3 Parent, LLC",1999-09-28,2029-09-28," 🇧🇪  ContactOffice Group SA","Fourteen Eyes (👀 14)","Belgium","Secure collaboration ContactOffice
Mailfence white label email for business. Custom brand the Mailfence secure and private email with your own logo and domain name. Powered by ContactOffice.","Illegal use; pornographic/harmful content; harassment; spam; impersonation; IP infringement; service resale; data mining","Collect registration data (user-provided); ID/password; content (user-managed). Stored on servers. Share only for legal compliance.","yes","no","free","yes","ContactOffice is a web-based service provided by ContactOffice Group SA (Brussels, Belgium), offering a suite of tools for management, communication, and collaboration, including email, calendars, address books, and document storage. Accessible through registration on the website, ContactOffice targets users seeking organized online solutions with a certain level of privacy determined by their subscription plan.  Security & Anonymity: ContactOffice provides a basic level of privacy but does not position itself as a fully anonymous service. Registration requires truthful information (e.g., name and email), which is stored in the company’s database for service management and potential promotional campaigns (opt-out available). Users receive a unique ID and choose a password, but maintaining their confidentiality is the user’s responsibility. Email content and data are stored on ContactOffice servers with capacity limits based on the chosen plan, though no encryption is mentioned in the policy, suggesting a lack of default end-to-end protection. Personal data isn’t shared with third parties except under lawful Belgian authority requests, with user notification provided when legally permitted. Privacy isn’t guaranteed due to the nature of the Internet, and for enhanced anonymity, using a VPN or Tor is recommended, especially since registration ties the account to an email address. Accounts may be terminated for inactivity or rule violations, resulting in data loss.  Use Cases: ContactOffice is suitable for users needing a versatile tool for communication and organization with basic privacy, but without strict anonymity requirements. It’s a good fit for:      Personal or group correspondence and task management in small teams (with group creation features).     Storing and transferring documents within specified volume limits.     Those who value convenient access to email and calendars via a single interface without complex setups. It’s not ideal for highly sensitive correspondence (due to unclear encryption) or complete anonymity (registration requires identification). ContactOffice is optimal for everyday use by individuals, freelancers, or small groups who appreciate convenience and basic data protection within Belgium’s jurisdiction, particularly if security is supplemented on the user’s end."
"🇷🇺","fbm-mail.com",,"188.114.96.0 | 🇨🇦 | Canada | AS13335 | Cloudflare, Inc.","mail.fbm-mail.com | 🇷🇺 | Russia | AS9123 | TimeWeb Ltd.",2024-04-20,2027-04-20,"🇷🇺 FBM Agency ",,"Russia","[FBM] Mail — Почта для арбитража :: Добро пожаловать в [FBM] Mail — Почта для арбитража!",,,"no","no","free","no",
"🇺🇸","isellemails.com",,"108.73.75.135 | 🇺🇸 | United States | AS7018 | AT&T Services, Inc.","isellemails.com | 🇺🇸 | United States | AS7018 | AT&T Services, Inc.",2020-12-16,2026-12-16,"🇺🇸 ","Five Eyes (👀 5)","United States","isellemails - Secure Hosting, Email, and File Storage Solutions
isellemails provides reliable hosting, secure email services, and scalable file storage solutions. Empower your business with high-performance infrastructure.",,,"no","no","free","optional",
"🇳🇱","disroot.org",,"178.21.23.139 | 🇳🇱 | Netherlands | AS50673 | Serverius Holding B.V.","disroot.org | 🇳🇱 | Netherlands | AS50673 | Serverius Holding B.V.",2015-06-07,2025-06-07,"🇳🇱 Stichting Disroot.org","Nine Eyes (👀 9)","Netherlands","Home | Disroot.org
Disroot is a platform providing online services based on principles of freedom, privacy, federation and decentralization.","Spam; harassment; abuse; intolerance/violence; illegal acts; commercial use; copyright violation; doxing","Collect email (temp/optional), username/password, activity logs (24h), user content. Encrypted where possible. Share only for federation.","yes","no","free","no","### Description of Disroot Email in English  **Disroot** is a platform provided by the non-profit organization Stichting Disroot.org (Netherlands), featuring an email service (https://webmail.disroot.org) among other tools for communication and collaboration. Disroot focuses on privacy, freedom, and ethical use of technology based on free and open-source software.  **Security & Anonymity:** Disroot offers a high level of privacy through minimal data collection and a strict protection policy. Account creation requires only a temporary email (deleted after approval unless kept for recovery), a username, and a password. Activity logs (IP, actions) are stored for just 24 hours and not archived, minimizing traces. Emails are stored on servers in the Netherlands unencrypted by default, but users can apply GnuPG/PGP for end-to-end encryption. Data transmission is secured with SSL/TLS, and servers use disk encryption. Data isn’t sold or shared with third parties, except as required by federated services (e.g., sending an email to Gmail reveals the recipient’s address). Full anonymity isn’t guaranteed due to email’s federated nature and lack of built-in encryption—using VPN/Tor and self-encrypting emails is recommended for maximum protection. Losing a password results in irreversible access loss, as Disroot doesn’t hold master keys.  **Use Cases:** Disroot is suitable for users who value privacy, free speech, and a non-commercial approach to technology. It’s a good fit for: - Ethical correspondence with minimal tracking (especially with PGP encryption). - Activists, communities, or individuals avoiding corporate ecosystems and ads. - Those wanting to integrate email with other open services (Nextcloud, XMPP). It’s not suitable for commercial purposes (strictly prohibited), highly sensitive data without encryption, or users needing simplicity (requires technical awareness for optimal security). Disroot is ideal for open-source enthusiasts, small groups, or those willing to take security into their own hands within Dutch jurisdiction and GDPR compliance."
"🇮🇹","autistici.org","anche.no
autistiche.org
autistici.org
autoproduzioni.net
bastardi.net
bruttocarattere.org
canaglie.net
canaglie.org
cryptolab.net
distruzione.org
grrlz.net
hacari.com
hacari.net
hacari.org
insiberia.net
insicuri.net
inventati.org
krutt.org
logorroici.org
mortemale.org
onenetbeyond.org
paranoici.org
privacyrequired.com
stronzi.org
subvertising.org","93.190.126.19 | 🇨🇭 | Switzerland | AS210861 | Open Networks Association 
198.167.222.108 | 🇸🇪 | Sweden | AS39287 | ab stract ltd | 1337 Services LLC 
82.94.249.234 | 🇳🇱 | Netherlands | AS3265 | KPN B.V. | Associazione Investici","mx1.investici.org | 🇨🇭 | Switzerland | AS210861 | Open Networks Association 
mx2.investici.org | 🇸🇪 | Sweden | AS39287 | ab stract ltd | 1337 Services LLC 
Mx3.investici.org | 🇳🇱 | Netherlands | AS3265 | KPN B.V. | Associazione Investici",2000-08-10,2029-08-10,"Associazione AI ODV","Fourteen Eyes (👀 14)"," 🇨🇭  Switzerland
 🇸🇪  Sweden
 🇳🇱  Netherlands","autistici.org - Welcome to Autistici/Inventati
Autistici/Inventati provides internet support to activists and collectives coming from the world of grassroot and social movements","Spam; discrimination; commercial use; militarism; political parties; copyright violation; misuse (DDoS, scraping)","Collect username/password, metadata (15 days), user content (encrypted where possible). No personal data. Share only for federation/legal orders.","yes","no","free","no","A/I is an email service provided by the non-profit association A/I-ODV from Pisa, Italy, as part of a platform designed to support activism and social movements. It combines communication tools (email, chats, blogs) with principles of anti-fascism, anti-racism, and anti-authoritarianism, steering clear of commercialization.  Security & Anonymity: A/I prioritizes maximum privacy by collecting minimal data: only a username (email) and password, with no additional personal details (phone, address). The statement of intent required during registration is deleted after approval, and activity logs (IP, metadata) are kept for up to 15 days and anonymized. Servers employ disk encryption and SSL/TLS for data transmission, but there’s no built-in end-to-end encryption for emails—users can apply PGP themselves. A/I cannot access encrypted content and doesn’t sell data. Federated protocols (e.g., email) necessitate sharing the recipient’s address with other providers, reducing anonymity when communicating off-platform. Full anonymity isn’t guaranteed due to no backups and Internet vulnerabilities—using VPN/Tor and avoiding links to real identity is recommended for protection. Data is stored in the EU, with disclosure possible only under an Italian court order, accompanied by user notification if legally permitted.  Use Cases: A/I is suitable for those who share values of self-organization and resistance, avoiding commercial and authoritarian structures. It’s a good fit for:      Activists and social movements needing private correspondence (especially with PGP).     Individuals aiming to minimize their digital footprint without commercial ties.     Non-commercial projects, blogs, or mailing lists aligned with DIY and solidarity. It’s not suited for business purposes (prohibited), highly sensitive data without encryption, or users unprepared for technical self-reliance (no password recovery without a security question). A/I is ideal for radical communities valuing freedom and privacy within Italian jurisdiction and GDPR compliance."
"🇷🇸","dmz.rs",,"77.105.27.232 | 🇷🇸 | Serbia | AS9125 | Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun | ORIONTELEKOMTIM-ADSL","kralizec.dmz.rs | 🇷🇸 | Serbia | AS9125 | Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun | ORIONTELEKOMTIM-ADSL 
splint.rs | 🇷🇸 | Serbia | AS31042 | Serbia BroadBand-Srpske Kablovske mreze d.o.o. 
Krov.dmz.rs | 🇷🇸 | Serbia | AS15958 | CETIN Ltd. Belgrade | CETIN Ltd. Belgrade",2022-05-06,2025-05-06,," 🇷🇸 Serbia","Serbia","Home Decentrala
",,,"no","no","free","no",
